comp1	comp2	comp3	type	breed
-56.7978931359915	2.82166441302181	0.548517886987421	China_Local	BS
-48.874274447239	3.2330365140415	-0.984884188637386	China_Local	BS
-43.3866329962873	-0.993938425865587	-0.577079857786136	China_Local	BS
-45.3069249396598	2.14021474718971	0.773809247440204	China_Local	BS
-38.9019038062236	1.59035935628046	-0.502716850969765	China_Local	BS
-37.7905078582173	0.937182758988865	-2.10412222227346	China_Local	BS
-48.7049257041962	1.36136263729754	0.732382058460073	China_Local	BS
-43.7248118969143	2.89838844792175	-1.15657028640736	China_Local	BS
-35.3391724644983	-3.84322161152395	-1.43118131995006	China_Local	BS
-37.2888183249045	-1.03799425674049	-3.29387650482806	China_Local	BS
-36.5339555331457	-1.17788220409134	-1.77565858000367	China_Local	BS
-37.1686235499998	2.78265421228918	2.34555515376578	China_Local	BS
-36.278098627407	-0.116035428154065	-0.654032375087961	China_Local	BS
-57.2732631797293	4.50708562794509	-1.52659729715565	China_Local	BS
-38.8562419053469	-1.51258181124606	-1.01639486945359	China_Local	BS
-34.135174910139	1.72363446614112	0.198343313416303	China_Local	BS
-39.2911047708226	-1.01188537510104	-1.32122531290058	China_Local	BS
-34.1012151025968	-0.906873639333485	0.496777401544417	China_Local	BS
-33.2064840762309	-1.38010057218061	-1.56387830451611	China_Local	BS
-50.8730546125324	2.10527307830339	-0.623699911798669	China_Local	BS
-48.3871083729427	2.03500537036652	1.21190223020868	China_Local	BS
-28.1114035978145	-3.14112374032086	-1.0858748215221	China_Local	BS
-23.6711297883439	-2.98305435618112	-5.56458538712865	China_Local	BS
-33.2088752441621	-0.0813520183335373	-0.0780836379008696	China_Local	BS
-39.4619198062516	-1.13763106039376	-1.60033743473812	China_Local	BS
-43.6478627519035	2.94764554085061	-0.367559784847205	China_Local	BS
-41.6538202296275	0.35514088991292	2.43885837218048	China_Local	BS
-38.8018234119123	-0.325906208836121	-0.744467273365334	China_Local	BS
-49.0780143311726	4.66235427636679	-0.83570108057524	China_Local	BS
-42.6283989307534	1.18936806119107	2.75774612542773	China_Local	BS
-44.4619011267362	2.65162403256453	0.0132168703031785	China_Local	BS
-50.7745686704509	0.112627455347104	0.813570731767867	China_Local	BS
-52.230413734102	1.43010961674235	1.11782912043425	China_Local	BS
-59.2397944211644	3.97257177515772	0.134350746443382	China_Local	SB
-58.294962152709	5.28897860838	0.719543451885681	China_Local	SB
-58.7725711560703	5.4881825085197	2.09769363309891	China_Local	SB
-59.5009867048575	4.97428555380709	0.257673953749892	China_Local	SB
-60.4797016583897	3.73482201555467	1.67126615806864	China_Local	SB
-58.964748960266	4.03716705242259	3.34829475735861	China_Local	SB
-58.3730476197302	3.19419556530806	1.81700274616492	China_Local	SB
-57.3187793331781	4.85995207646758	0.948010311510666	China_Local	SB
-58.876195650959	5.81782594406493	1.32007166113799	China_Local	SB
-59.4702392518825	4.9442550660895	1.15580136969313	China_Local	SB
-58.034736280755	5.13832530139094	1.58966352973334	China_Local	SB
-58.202146330351	5.64457851266109	0.759281388258753	China_Local	SB
-58.058771010872	6.17918612589018	1.5233445103586	China_Local	SB
-56.4967291905663	5.27025576532043	2.91018648118591	China_Local	SB
-57.6474652066325	4.41605110969124	0.836552150083135	China_Local	SB
-60.0398822657149	4.12672964459289	2.0332824538554	China_Local	SB
-59.2434185671605	3.8483671079262	0.609832167464453	China_Local	SB
-59.1819391893145	5.25695595488145	2.08437179248116	China_Local	SB
-60.5621458455911	3.81104826429596	3.26352879560674	China_Local	SB
-58.0777811376471	5.34044334774452	0.805828860420129	China_Local	SB
-57.0377009014788	7.24304000237766	1.93671483670905	China_Local	SB
-59.3999155010945	5.36184534416976	1.0607747502496	China_Local	SB
-59.859254316125	5.13691559368126	1.18633124020765	China_Local	SB
-64.6538246886546	-4.20652143127782	-0.166394455446043	China_Local	GZH
-61.7796553559802	-4.21958705711782	0.114266826066898	China_Local	GZH
-62.7070801136372	-3.03063240380457	0.703243741711585	China_Local	GZH
-62.3944828077938	-3.78846457046457	0.347545056266715	China_Local	GZH
-61.8839607513052	-3.61310356810692	1.72969531690968	China_Local	GZH
-62.9253268556124	-3.82137431492856	-0.772983060543658	China_Local	GZH
-62.7832537217976	-4.27308752193865	0.564291897471218	China_Local	GZH
-63.831632277732	-4.0344795750856	-0.203379823012366	China_Local	GZH
-62.5107233453058	-3.65037578539085	-0.980229013007363	China_Local	GZH
-59.2555045908333	-2.14078293523748	0.775505306675655	China_Local	GZH
-62.2462025132297	-3.69903829089469	-0.812925018478558	China_Local	GZH
-63.1292752857199	-4.09903110106541	1.62980483017367	China_Local	GZH
-62.1247235632887	-3.60670756488936	-0.522366567331849	China_Local	GZH
-58.2622043415493	-3.15108086576283	1.83184404582598	China_Local	GZH
-57.2103531920388	-4.34311150916648	-0.246069285320518	China_Local	GZH
-61.6919877840064	-5.94104260461629	1.77228624327572	China_Local	GZH
-62.5734403382955	-2.66026526802516	-0.344937758370703	China_Local	GZH
-62.8740210762971	-5.47759552961815	0.810777246101736	China_Local	GZH
-62.5896001965023	-5.42386197622348	-0.157709761180486	China_Local	GZH
-64.3623465839591	-5.40283677007419	-0.423202857458958	China_Local	GZH
-61.0054706612005	-4.630651932402	-0.343998196208902	China_Local	GZH
-59.3765314923243	-2.66693189869446	1.47377064244768	China_Local	GZH
-63.7102886671611	-4.62393960440375	0.598660846778072	China_Local	GZH
-61.2693821983884	-3.62565921693167	0.589323149832576	China_Local	GZH
-62.6483983049161	-4.57960039222956	0.204480018511024	China_Local	GZH
